iter	F1	Logloss
0	0.5991952518	0.6516207715
1	0.6104411167	0.626378167
2	0.6099819769	0.6041236826
3	0.6117813743	0.5934499453
4	0.6289127479	0.5801323684
5	0.6239568383	0.5757191972
6	0.624183769	0.5699768171
7	0.6341093696	0.5653402074
8	0.6362638047	0.5600483242
9	0.6396266305	0.5568968755
10	0.6401074085	0.5563489354
11	0.6526114329	0.5537804557
12	0.6628167799	0.5505930033
13	0.6660888585	0.548659581
14	0.667167843	0.5475549567
15	0.6705470715	0.5448632393
16	0.6715292129	0.5433437755
17	0.6750532786	0.5414238637
18	0.6809093891	0.5393884313
19	0.6824339018	0.5370798471
20	0.6816056057	0.5346503776
21	0.6886271392	0.5321623151
22	0.6881158552	0.5308419808
23	0.6904093994	0.5307141305
24	0.6957945244	0.5295822418
25	0.6993290584	0.5278849845
26	0.699906188	0.5271595009
27	0.7044511486	0.5254991702
28	0.7082231431	0.5231720643
29	0.7110624297	0.5219233389
30	0.7130284286	0.5204181219
31	0.7114190997	0.5186593999
32	0.7130896199	0.5170254791
33	0.7145090234	0.5161790343
34	0.7147370616	0.5158195024
35	0.7143715317	0.5150222984
36	0.7171711744	0.5137186536
37	0.7166168858	0.5120763702
38	0.7155845351	0.5114044869
39	0.7215597644	0.5099515994
40	0.722122414	0.5096106519
41	0.7215597644	0.5088839867
42	0.7251860815	0.5083188256
43	0.7298002492	0.5067243524
