iter	Passed	Remaining
0	35	7060
1	69	6848
2	125	8208
3	173	8479
4	238	9299
5	255	8254
6	288	7955
7	341	8184
8	365	7749
9	388	7387
10	405	6973
11	434	6812
12	458	6593
13	483	6422
14	520	6420
15	546	6288
16	581	6258
17	604	6113
18	644	6144
19	676	6084
20	705	6011
21	741	5995
22	767	5904
23	776	5691
24	800	5603
25	850	5693
26	878	5631
27	905	5561
28	932	5501
29	961	5446
30	993	5418
31	1021	5365
32	1060	5365
33	1093	5337
34	1126	5312
35	1160	5287
36	1220	5376
37	1267	5405
38	1292	5333
39	1346	5387
40	1366	5299
41	1402	5275
42	1425	5206
43	1449	5138
